unified_id;month;hot_tub;pool
AIR10052559;2022-12;1;0
AIR10178668;2022-12;0;0
AIR10211700;2022-12;0;0
AIR10344705;2022-12;0;0
AIR10424683;2022-12;0;1
AIR10471190;2022-12;1;0
AIR10551482;2022-12;1;0
AIR11209785;2022-12;1;0
AIR11458668;2022-12;0;0
AIR11529774;2022-12;1;0
AIR11623857;2022-12;1;1
AIR11654882;2022-12;1;0
AIR11692683;2022-12;1;0
AIR11735648;2022-12;0;0
AIR11785147;2022-12;1;1
AIR11799363;2022-12;0;0
AIR11921717;2022-12;1;0
AIR119838;2022-12;0;1
AIR12246386;2022-12;1;0
AIR12325663;2022-12;1;0
AIR1243216;2022-12;1;0
AIR12466059;2022-12;0;0
AIR12495850;2022-12;0;0
AIR12520281;2022-12;0;0
AIR12647814;2022-12;1;1
AIR12651776;2022-12;0;0
AIR12826044;2022-12;0;0
AIR12833882;2022-12;0;0
AIR12904929;2022-12;1;0
AIR12942776;2022-12;0;0
AIR13060219;2022-12;1;1
AIR13126924;2022-12;0;0
AIR13167327;2022-12;1;0
AIR13274494;2022-12;1;1
AIR13634652;2022-12;1;0
AIR13639669;2022-12;0;0
AIR13686367;2022-12;1;0
AIR13687864;2022-12;1;0
AIR13696080;2022-12;0;0
AIR13716929;2022-12;0;0
AIR13724939;2022-12;0;0
AIR13746160;2022-12;1;0
AIR13801200;2022-12;0;0
AIR13829324;2022-12;0;0
AIR13996202;2022-12;0;0
AIR14089677;2022-12;1;0
AIR14124182;2022-12;0;0
AIR14124206;2022-12;0;0
AIR14124266;2022-12;0;0
AIR14124584;2022-12;0;0
AIR1428379;2022-12;0;0
AIR14335230;2022-12;1;0
AIR14342504;2022-12;1;0
AIR14467679;2022-12;0;0
AIR14469396;2022-12;0;0
AIR14480012;2022-12;1;0
AIR14480136;2022-12;0;0
AIR14480143;2022-12;0;0
AIR14521351;2022-12;1;0
AIR14529233;2022-12;0;0
AIR14759123;2022-12;1;0
AIR14771743;2022-12;0;0
AIR14786504;2022-12;0;0
AIR1484195;2022-12;1;0
AIR14948466;2022-12;1;0
AIR14961212;2022-12;0;0
AIR14983336;2022-12;1;0
AIR14992690;2022-12;1;0
AIR14994173;2022-12;0;0
AIR15056526;2022-12;0;0
AIR15073367;2022-12;1;0
AIR15085009;2022-12;0;0
AIR15165066;2022-12;0;0
AIR15225059;2022-12;1;0
AIR1526344;2022-12;1;0
AIR1534914;2022-12;1;0
AIR15436072;2022-12;0;0
AIR15453260;2022-12;0;0
AIR15484066;2022-12;1;1
