unified_id;month;street_name;latitude;longitude
AIR10052559;2022-12;Heavenly Valley Road;34,23948;-116,87991
AIR10178668;2022-12;Round Drive;34,25095;-116,94139
AIR10211700;2022-12;;34,24516;-116,87618
AIR10344705;2022-12;;34,2675;-116,86089
AIR10424683;2022-12;Starvation Flats Road;34,25341;-116,88025
AIR10471190;2022-12;Spruce Lane;34,23844;-116,82383
AIR10551482;2022-12;La Crescenta Drive;34,2355;-116,8483
AIR11209785;2022-12;;34,23943;-116,85551
AIR11458668;2022-12;Waynoka Lane;34,24263;-116,92486
AIR11529774;2022-12;Carmelita Way;34,08019;-116,37654
AIR11623857;2022-12;Starvation Flats Road;34,25264;-116,8808
AIR11654882;2022-12;Fenway Drive;34,2422;-116,8618
AIR11692683;2022-12;Mullins Drive;34,27166;-116,85132
AIR11735648;2022-12;Summit Boulevard;34,23979;-116,88697
AIR11785147;2022-12;Starvation Flats Road;34,2521;-116,87999
AIR11799363;2022-12;;34,23996;-116,92826
AIR11921717;2022-12;Eureka Drive;34,24654;-116,89829
AIR119838;2022-12;Mountain View Circle;34,12838;-116,31354
AIR12246386;2022-12;Silver Tip Drive;34,237736;-116,862297
AIR12325663;2022-12;Navajo Trail;34,11093;-116,3238
AIR1243216;2022-12;Saddleback Road;34,121407;-116,328949
AIR12466059;2022-12;Yosemite Drive;34,22938;-116,84423
AIR12495850;2022-12;;34,24372;-116,9171
AIR12520281;2022-12;Deer Run Court;34,23125;-116,86125
AIR12647814;2022-12;;34,15362;-116,43614
AIR12651776;2022-12;;34,26642;-116,86604
AIR12826044;2022-12;East Aeroplane Boulevard;34,25887;-116,84183
AIR12833882;2022-12;Siskiyou Drive;34,22742;-116,85785
AIR12904929;2022-12;Jeffries Road;34,23966;-116,9024
AIR12942776;2022-12;Sunburst Drive;34,12841;-116,31947
AIR13060219;2022-12;Foothill Drive;34,12236023;-116,2212906
AIR13126924;2022-12;Canvasback Road;34,24508;-116,93356
AIR13167327;2022-12;Menlo Drive;34,23817;-116,85878
AIR13274494;2022-12;;34,14173;-116,18252
AIR13634652;2022-12;Starvation Flats Road;34,25165;-116,87831
AIR13639669;2022-12;Siskiyou Drive;34,22792;-116,8568
AIR13686367;2022-12;Antelope Mountain Drive;34,26984;-116,85901
AIR13687864;2022-12;Green Oaks Court;34,23525;-116,84814
AIR13696080;2022-12;Round Drive;34,25041;-116,94128
AIR13716929;2022-12;Temple Lane;34,24416;-116,92566
AIR13724939;2022-12;Marin Road;34,2415;-116,90719
AIR13746160;2022-12;Eagle Drive;34,24947;-116,90189
AIR13801200;2022-12;Wren Drive;34,24626;-116,8953
AIR13829324;2022-12;Tahoe Drive;34,24456;-116,89486
AIR13996202;2022-12;Blue Jay Road;34,24083;-116,94922
AIR14089677;2022-12;Tehama Drive;34,23653;-116,86166
AIR14124182;2022-12;;34,23737;-116,88843
AIR14124206;2022-12;;34,23663;-116,86494
AIR14124266;2022-12;Villa Grove Avenue;34,24365;-116,85827
AIR14124584;2022-12;Stony Creek Road;34,25003;-116,8681
AIR1428379;2022-12;Saint Moritz Drive;34,24092;-116,89069
AIR14335230;2022-12;La Crescenta Drive;34,23439;-116,8472
AIR14342504;2022-12;Sunset Lane;34,2472;-116,83108
AIR14467679;2022-12;San Pasqual Drive;34,22893;-116,84976
AIR14469396;2022-12;West Rainbow Boulevard;34,25856;-116,84709
AIR14480012;2022-12;Park Avenue;34,24477;-116,89234
AIR14480136;2022-12;;34,22993;-116,84758
AIR14480143;2022-12;Angels Camp Road;34,23057;-116,83889
AIR14521351;2022-12;;34,09755;-116,30666
AIR14529233;2022-12;Temple Lane;34,2428;-116,92337
AIR14759123;2022-12;Cedar Mountain Road;34,27016;-116,85849
AIR14771743;2022-12;Lassen Drive;34,22923;-116,85945
AIR14786504;2022-12;Thrush Court;34,23772;-116,89224
AIR1484195;2022-12;;34,23704;-116,86718
AIR14948466;2022-12;;34,24391;-116,88486
AIR14961212;2022-12;Klamath Road;34,23797;-116,84575
AIR14983336;2022-12;Sunset Road;34,12908;-116,31856
AIR14992690;2022-12;Forest Road;34,24419;-116,92925
AIR14994173;2022-12;Edgemoor Road;34,24442;-116,93283
AIR15056526;2022-12;Saint Moritz Drive;34,23893;-116,89144
AIR15073367;2022-12;;34,12604;-116,32487
AIR15085009;2022-12;Chipmunk Lane;34,24589;-116,94465
AIR15165066;2022-12;;34,2368;-116,86184
AIR15225059;2022-12;Wilton Road;34,11622;-116,35228
AIR1526344;2022-12;Kismet Road;34,09347;-116,42317
AIR1534914;2022-12;Main Street;34,23961;-116,90659
AIR15436072;2022-12;La Crescenta Drive;34,23452;-116,84998
AIR15453260;2022-12;;34,24114;-116,90688
AIR15484066;2022-12;Surrey Avenue;34,1846;-116,39616
AIR15498520;2022-12;Starvation Flats Road;34,25341;-116,88133
AIR15512762;2022-12;Guinan Lane;34,24049;-116,92624
AIR15564286;2022-12;Willow Landing Road;34,23933;-116,94673
AIR15598354;2022-12;Crestwood Drive;34,237957;-116,886131
AIR15616221;2022-12;;34,12539;-116,3165
AIR15630911;2022-12;Mapleleaf Drive;34,24001;-116,8874
AIR15634146;2022-12;Switzerland Drive;34,2377;-116,88712
AIR15707836;2022-12;;34,23617;-116,87004
AIR15735291;2022-12;;34,16053;-116,30614
AIR15754153;2022-12;Willow Landing Road;34,24028;-116,95008
AIR15758715;2022-12;Sunset Drive;34,23729;-116,85903
AIR15905180;2022-12;;34,25371;-116,8732
AIR15938411;2022-12;;34,23572;-116,8523
AIR15964091;2022-12;;34,1294;-116,42907
AIR15970296;2022-12;;34,26601;-116,83992
