unified_id;month;zipcode;city;host_type;bedrooms;bathrooms;guests;revenue;openness;occupancy;nightly rate;lead time;length stay
AIR10000347;2019-1;92315;Big Bear Lake;2-5 Units;3;2;10;13948,75974;31;1;449,9599915;8;65
AIR10000347;2019-10;92315;Big Bear Lake;2-5 Units;3;2;10;449,9599915;31;0,032258065;449,9599915;8;1
AIR10000347;2019-11;92315;Big Bear Lake;2-5 Units;3;2;10;0;30;0;;;
AIR10000347;2019-12;92315;Big Bear Lake;2-5 Units;3;2;10;4949,679932;31;0,35483871;449,9709029;41;2,4
AIR10000347;2019-2;92315;Big Bear Lake;2-5 Units;3;2;10;0;28;0;;;
AIR10000347;2019-3;92315;Big Bear Lake;2-5 Units;3;2;10;899,9199829;31;0,064516129;449,9599915;8;1
AIR10000347;2019-4;92315;Big Bear Lake;2-5 Units;3;2;10;0;30;0;;;
AIR10000347;2019-5;92315;Big Bear Lake;2-5 Units;3;2;10;0;31;0;;;
AIR10000347;2019-6;92315;Big Bear Lake;2-5 Units;3;2;10;11248,99979;30;0,833333333;449,9599915;8;39
AIR10000347;2019-7;92315;Big Bear Lake;2-5 Units;3;2;10;6749,399872;31;0,483870968;449,9599915;8;1
AIR10000347;2019-8;92315;Big Bear Lake;2-5 Units;3;2;10;899,9199829;31;0,064516129;449,9599915;8;1
AIR10000347;2019-9;92315;Big Bear Lake;2-5 Units;3;2;10;449,9599915;30;0,033333333;449,9599915;8;1
AIR10035983;2019-1;92315;Big Bear Lake;Single Owners;3;2;8;9353,98996;31;1;301,7416116;128;45
AIR10035983;2019-2;92315;Big Bear Lake;Single Owners;3;2;8;8499,079956;28;1;303,5385699;;
AIR10035983;2019-3;92315;Big Bear Lake;Single Owners;3;2;8;9483,96994;31;1;305,9345142;;
AIR10035983;2019-4;92315;Big Bear Lake;Single Owners;3;2;8;0;28;0;;;
AIR10052559;2019-1;92315;Big Bear Lake;Professionals;3;2.5;8;9946,849976;31;0,580645161;552,6027764;10,57142857;2,571428571
AIR10052559;2019-10;92315;Big Bear Lake;Professionals;3;2.5;8;13858,60034;31;0,903225806;494,9500122;2;30
AIR10052559;2019-11;92315;Big Bear Lake;Professionals;3;2.5;8;5104,59996;30;0,7;243,0761886;20,33333333;6,333333333
AIR10052559;2019-12;92315;Big Bear Lake;Professionals;3;2.5;8;9445,549866;31;0,451612903;674,6821333;26,71428571;2
AIR10052559;2019-2;92315;Big Bear Lake;Professionals;3;2.5;8;11044,70001;28;0,75;525,9380958;20,625;2,75
AIR10052559;2019-3;92315;Big Bear Lake;Professionals;3;2.5;8;2969,690063;31;0,193548387;494,9483439;2,75;1,25
AIR10052559;2019-4;92315;Big Bear Lake;Professionals;3;2.5;8;1484,850037;30;0,1;494,9500122;1;1
AIR10052559;2019-5;92315;Big Bear Lake;Professionals;3;2.5;8;494,9500122;31;0,032258065;494,9500122;1;1
AIR10052559;2019-6;92315;Big Bear Lake;Professionals;3;2.5;8;4454,55011;30;0,3;494,9500122;1;10
AIR10052559;2019-7;92315;Big Bear Lake;Professionals;3;2.5;8;15343,45038;31;1;494,9500122;;
AIR10052559;2019-8;92315;Big Bear Lake;Professionals;3;2.5;8;2474,750061;31;0,161290323;494,9500122;1;11,66666667
AIR10052559;2019-9;92315;Big Bear Lake;Professionals;3;2.5;8;14848,50037;30;1;494,9500122;;
AIR10178668;2019-1;92315;Big Bear Lake;Professionals;3;2.5;7;6027,410034;31;0,483870968;401,8273356;7,1;1,8
